sample_id,filename,filetype,biosample_accession,library_strategy,library_source,platform,instrument_model,seq_kit,basecaller,basecaller_version,basecaller_model,modbase_model,generator_facility,generator_contact,path,read_n50,gbp,coverage,100kb+,whales,accession,study,bioproject_accession,production,sequencing_chemistry
HG02293,12_09_24_R1041_UL_HPRC_HG02293_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267394,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02293/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_09_24_R1041_UL_HPRC_HG02293_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,93130,110.37,33.44,15.51,34,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG02738,12_09_24_R1041_UL_HPRC_HG02738_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267396,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02738/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_09_24_R1041_UL_HPRC_HG02738_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,111155,93.07,28.2,15.41,48,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG03804,12_09_24_R1041_UL_HPRC_HG03804_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN37706907,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03804/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_09_24_R1041_UL_HPRC_HG03804_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,113041,87.24,26.44,14.82,56,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG03927,12_09_24_R1041_UL_HPRC_HG03927_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267386,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03927/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_09_24_R1041_UL_HPRC_HG03927_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,109287,106.87,32.38,17.64,11,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG04204,12_09_24_R1041_UL_HPRC_HG04204_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267390,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04204/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_09_24_R1041_UL_HPRC_HG04204_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,73080,133.12,40.34,14,15,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG04204,12_09_24_R1041_UL_HPRC_HG04204_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267390,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04204/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_09_24_R1041_UL_HPRC_HG04204_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,74544,183.48,55.6,19.65,30,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG00609,12_16_24_R1041_UL_HPRC_HG00609_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26237492,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00609/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_16_24_R1041_UL_HPRC_HG00609_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,118109,93.25,28.26,16.39,56,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG00642,12_16_24_R1041_UL_HPRC_HG00642_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267378,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00642/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_16_24_R1041_UL_HPRC_HG00642_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,119210,69.33,21.01,12.29,83,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG00738,12_16_24_R1041_UL_HPRC_HG00738_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26237493,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00738/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_16_24_R1041_UL_HPRC_HG00738_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,87840,139.03,42.13,18.08,73,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG01496,12_16_24_R1041_UL_HPRC_HG01496_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26237497,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01496/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_16_24_R1041_UL_HPRC_HG01496_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,104908,87.1,26.4,13.85,37,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG02293,12_16_24_R1041_UL_HPRC_HG02293_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267394,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02293/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_16_24_R1041_UL_HPRC_HG02293_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,90255,72.7,22.03,9.93,17,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG02738,12_16_24_R1041_UL_HPRC_HG02738_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267396,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02738/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_16_24_R1041_UL_HPRC_HG02738_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,116012,73.28,22.21,12.58,59,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG03927,12_16_24_R1041_UL_HPRC_HG03927_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267386,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03927/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_16_24_R1041_UL_HPRC_HG03927_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,106868,99.9,30.27,16.15,32,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
